populacao,municipio,cod_mun,ano
42456,Porto de Moz,1505908,2021
29827,Prainha,1506005,2021
10889,Primavera,1506104,2021
13794,Quatipuru,1506112,2021
86326,Redenção,1506138,2021
18208,Rio Maria,1506161,2021
53242,Rondon do Pará,1506187,2021
52473,Rurópolis,1506195,2021
41164,Salinópolis,1506203,2021
24392,Salvaterra,1506302,2021
21811,Santa Bárbara do Pará,1506351,2021
10496,Santa Cruz do Arari,1506401,2021
72856,Santa Izabel do Pará,1506500,2021
19839,Santa Luzia do Pará,1506559,2021
22244,Santa Maria das Barreiras,1506583,2021
25127,Santa Maria do Pará,1506609,2021
75995,Santana do Araguaia,1506708,2021
308339,Santarém,1506807,2021
6796,Santarém Novo,1506906,2021
32346,Santo Antônio do Tauá,1507003,2021
18207,São Caetano de Odivelas,1507102,2021
25945,São Domingos do Araguaia,1507151,2021
32285,São Domingos do Capim,1507201,2021
135732,São Félix do Xingu,1507300,2021
15978,São Francisco do Pará,1507409,2021
24566,São Geraldo do Araguaia,1507458,2021
6294,São João da Ponta,1507466,2021
23440,São João de Pirabas,1507474,2021
14105,São João do Araguaia,1507508,2021
60268,São Miguel do Guamá,1507607,2021
27302,São Sebastião da Boa Vista,1507706,2021
6088,Sapucaia,1507755,2021
11305,Senador José Porfírio,1507805,2021
25752,Soure,1507904,2021
111554,Tailândia,1507953,2021
11971,Terra Alta,1507961,2021
19063,Terra Santa,1507979,2021
64604,Tomé,1508001,2021
31549,Tracuateua,1508035,2021
19344,Trairão,1508050,2021
40661,Tucumã,1508084,2021
116605,Tucuruí,1508100,2021
62286,Ulianópolis,1508126,2021
45395,Uruará,1508159,2021
54650,Vigia,1508209,2021
62093,Viseu,1508308,2021
15421,Vitória do Xingu,1508357,2021
45416,Xinguara,1508407,2021
5577,Serra do Navio,1600055,2021
9265,Amapá,1600105,2021
17625,Pedra Branca do Amapari,1600154,2021
11493,Calçoene,1600204,2021
6217,Cutias,1600212,2021
8151,Ferreira Gomes,1600238,2021
5730,Itaubal,1600253,2021
52302,Laranjal do Jari,1600279,2021
522357,Macapá,1600303,2021
22468,Mazagão,1600402,2021
28534,Oiapoque,1600501,2021
22927,Porto Grande,1600535,2021
5370,Pracuúba,1600550,2021
124808,Santana,1600600,2021
18217,Tartarugalzinho,1600709,2021
16572,Vitória do Jari,1600808,2021
2609,Abreulândia,1700251,2021
7049,Aguiarnópolis,1700301,2021
5303,Aliança do Tocantins,1700350,2021
6905,Almas,1700400,2021
8381,Alvorada,1700707,2021
9435,Ananás,1701002,2021
3475,Angico,1701051,2021
4901,Aparecida do Rio Negro,1701101,2021
5705,Aragominas,1701309,2021
7223,Araguacema,1701903,2021
8418,Araguaçu,1702000,2021
186245,Araguaína,1702109,2021
5856,Araguanã,1702158,2021
36573,Araguatins,1702208,2021
6590,Arapoema,1702307,2021
10502,Arraias,1702406,2021
18870,Augustinópolis,1702554,2021
3809,Aurora do Tocantins,1702703,2021
9817,Axixá do Tocantins,1702901,2021
10668,Babaçulândia,1703008,2021
3631,Bandeirantes do Tocantins,1703057,2021
4673,Barra do Ouro,1703073,2021
5669,Barrolândia,1703107,2021
4439,Bernardo Sayão,1703206,2021
5120,Bom Jesus do Tocantins,1703305,2021
2221,Brasilândia do Tocantins,1703602,2021
5540,Brejinho de Nazaré,1703701,2021
11644,Buriti do Tocantins,1703800,2021
2293,Cachoeirinha,1703826,2021
10505,Campos Lindos,1703842,2021
4499,Cariri do Tocantins,1703867,2021
