pib,municipio,cod_mun,ano
1028625,São Geraldo do Araguaia,1507458,2023
79287,São João da Ponta,1507466,2023
232878,São João de Pirabas,1507474,2023
235495,São João do Araguaia,1507508,2023
1132578,São Miguel do Guamá,1507607,2023
309743,São Sebastião da Boa Vista,1507706,2023
172700,Sapucaia,1507755,2023
341244,Senador José Porfírio,1507805,2023
338748,Soure,1507904,2023
2023568,Tailândia,1507953,2023
114731,Terra Alta,1507961,2023
590339,Terra Santa,1507979,2023
1746483,Tomé,1508001,2023
391638,Tracuateua,1508035,2023
454558,Trairão,1508050,2023
1347919,Tucumã,1508084,2023
5457108,Tucuruí,1508100,2023
2344285,Ulianópolis,1508126,2023
1057794,Uruará,1508159,2023
602141,Vigia,1508209,2023
869709,Viseu,1508308,2023
3987037,Vitória do Xingu,1508357,2023
2321585,Xinguara,1508407,2023
126544,Serra do Navio,1600055,2023
219045,Amapá,1600105,2023
375827,Pedra Branca do Amapari,1600154,2023
295401,Calçoene,1600204,2023
115359,Cutias,1600212,2023
557990,Ferreira Gomes,1600238,2023
132723,Itaubal,1600253,2023
1335225,Laranjal do Jari,1600279,2023
18470858,Macapá,1600303,2023
583553,Mazagão,1600402,2023
820364,Oiapoque,1600501,2023
527655,Porto Grande,1600535,2023
101033,Pracuúba,1600550,2023
3725688,Santana,1600600,2023
329305,Tartarugalzinho,1600709,2023
303549,Vitória do Jari,1600808,2023
141930,Abreulândia,1700251,2023
226238,Aguiarnópolis,1700301,2023
423070,Aliança do Tocantins,1700350,2023
336120,Almas,1700400,2023
886077,Alvorada,1700707,2023
199526,Ananás,1701002,2023
54433,Angico,1701051,2023
283247,Aparecida do Rio Negro,1701101,2023
113908,Aragominas,1701309,2023
411911,Araguacema,1701903,2023
474483,Araguaçu,1702000,2023
7357638,Araguaína,1702109,2023
107609,Araguanã,1702158,2023
641440,Araguatins,1702208,2023
158572,Arapoema,1702307,2023
239090,Arraias,1702406,2023
396227,Augustinópolis,1702554,2023
69896,Aurora do Tocantins,1702703,2023
173373,Axixá do Tocantins,1702901,2023
169441,Babaçulândia,1703008,2023
249696,Bandeirantes do Tocantins,1703057,2023
100382,Barra do Ouro,1703073,2023
140103,Barrolândia,1703107,2023
128560,Bernardo Sayão,1703206,2023
143623,Bom Jesus do Tocantins,1703305,2023
75010,Brasilândia do Tocantins,1703602,2023
267584,Brejinho de Nazaré,1703701,2023
149973,Buriti do Tocantins,1703800,2023
62095,Cachoeirinha,1703826,2023
665857,Campos Lindos,1703842,2023
997800,Cariri do Tocantins,1703867,2023
73172,Carmolândia,1703883,2023
56192,Carrasco Bonito,1703891,2023
474488,Caseara,1703909,2023
109325,Centenário,1704105,2023
51576,Chapada de Areia,1704600,2023
155377,Chapada da Natividade,1705102,2023
1161301,Colinas do Tocantins,1705508,2023
95001,Combinado,1705557,2023
88973,Conceição do Tocantins,1705607,2023
249462,Couto Magalhães,1706001,2023
214100,Cristalândia,1706100,2023
77387,Crixás do Tocantins,1706258,2023
252543,Darcinópolis,1706506,2023
781673,Dianópolis,1707009,2023
323159,Divinópolis do Tocantins,1707108,2023
289149,Dois Irmãos do Tocantins,1707207,2023
290818,Dueré,1707306,2023
119197,Esperantina,1707405,2023
127672,Fátima,1707553,2023
350090,Figueirópolis,1707652,2023
161707,Filadélfia,1707702,2023
988169,Formoso do Araguaia,1708205,2023
173517,Tabocão,1708254,2023
178252,Goianorte,1708304,2023
309167,Goiatins,1709005,2023
1130106,Guaraí,1709302,2023
3695017,Gurupi,1709500,2023
71887,Ipueiras,1709807,2023
199694,Itacajá,1710508,2023
100220,Itaguatins,1710706,2023
153090,Itapiratins,1710904,2023
76489,Itaporã do Tocantins,1711100,2023
110816,Jaú do Tocantins,1711506,2023
55560,Juarina,1711803,2023
1089844,Lagoa da Confusão,1711902,2023
85970,Lagoa do Tocantins,1711951,2023
79405,Lajeado,1712009,2023
41517,Lavandeira,1712157,2023
78341,Lizarda,1712405,2023
58820,Luzinópolis,1712454,2023
373197,Marianópolis do Tocantins,1712504,2023
467179,Mateiros,1712702,2023
63313,Maurilândia do Tocantins,1712801,2023
860438,Miracema do Tocantins,1713205,2023
483394,Miranorte,1713304,2023
398705,Monte do Carmo,1713601,2023
86604,Monte Santo do Tocantins,1713700,2023
108235,Palmeiras do Tocantins,1713809,2023
79966,Muricilândia,1713957,2023
352748,Natividade,1714203,2023
78447,Nazaré,1714302,2023
442504,Nova Olinda,1714880,2023
110147,Nova Rosalândia,1715002,2023
176373,Novo Acordo,1715101,2023
38612,Novo Alegre,1715150,2023
49097,Novo Jardim,1715259,2023
50178,Oliveira de Fátima,1715507,2023
247597,Palmeirante,1715705,2023
218426,Palmeirópolis,1715754,2023
2288330,Paraíso do Tocantins,1716109,2023
353206,Paranã,1716208,2023
110802,Pau D'Arco,1716307,2023
1090443,Pedro Afonso,1716505,2023
897174,Peixe,1716604,2023
129256,Pequizeiro,1716653,2023
228040,Colméia,1716703,2023
110783,Pindorama do Tocantins,1717008,2023
98238,Piraquê,1717206,2023
458625,Pium,1717503,2023
82503,Ponte Alta do Bom Jesus,1717800,2023
141531,Ponte Alta do Tocantins,1717909,2023
59927,Porto Alegre do Tocantins,1718006,2023
3195894,Porto Nacional,1718204,2023
114473,Praia Norte,1718303,2023
88843,Presidente Kennedy,1718402,2023
127927,Pugmil,1718451,2023
101805,Recursolândia,1718501,2023
75295,Riachinho,1718550,2023
45739,Rio da Conceição,1718659,2023
88775,Rio dos Bois,1718709,2023
150795,Rio Sono,1718758,2023
70136,Sampaio,1718808,2023
134402,Sandolândia,1718840,2023
202707,Santa Fé do Araguaia,1718865,2023
118353,Santa Maria do Tocantins,1718881,2023
275185,Santa Rita do Tocantins,1718899,2023
419882,Santa Rosa do Tocantins,1718907,2023
57246,Santa Tereza do Tocantins,1719004,2023
46686,Santa Terezinha do Tocantins,1720002,2023
90982,São Bento do Tocantins,1720101,2023
42355,São Félix do Tocantins,1720150,2023
239634,São Miguel do Tocantins,1720200,2023
59857,São Salvador do Tocantins,1720259,2023
68702,São Sebastião do Tocantins,1720309,2023
229618,São Valério,1720499,2023
284767,Silvanópolis,1720655,2023
179637,Sítio Novo do Tocantins,1720804,2023
310361,Sucupira,1720853,2023
386846,Taguatinga,1720903,2023
41627,Taipas do Tocantins,1720937,2023
173125,Talismã,1720978,2023
14168469,Palmas,1721000,2023
327560,Tocantínia,1721109,2023
529093,Tocantinópolis,1721208,2023
96851,Tupirama,1721257,2023
48417,Tupiratins,1721307,2023
245767,Wanderlândia,1722081,2023
722713,Xambioá,1722107,2023
4274162,Açailândia,2100055,2023
105581,Afonso Cunha,2100105,2023
130746,Água Doce do Maranhão,2100154,2023
170261,Alcântara,2100204,2023
335246,Aldeias Altas,2100303,2023
88343,Altamira do Maranhão,2100402,2023
378314,Alto Alegre do Maranhão,2100436,2023
310142,Alto Alegre do Pindaré,2100477,2023
573769,Alto Parnaíba,2100501,2023
95026,Amapá do Maranhão,2100550,2023
500782,Amarante do Maranhão,2100600,2023
255439,Anajatuba,2100709,2023
192813,Anapurus,2100808,2023
170117,Apicum,2100832,2023
127935,Araguanã,2100873,2023
351324,Araioses,2100907,2023
320623,Arame,2100956,2023
422713,Arari,2101004,2023
118131,Axixá,2101103,2023
1912868,Bacabal,2101202,2023
466226,Bacabeira,2101251,2023
156363,Bacuri,2101301,2023
52138,Bacurituba,2101350,2023
7529798,Balsas,2101400,2023
309910,Barão de Grajaú,2101509,2023
1157930,Barra do Corda,2101608,2023
816789,Barreirinhas,2101707,2023
100863,Belágua,2101731,2023
133414,Bela Vista do Maranhão,2101772,2023
94454,Benedito Leite,2101806,2023
166173,Bequimão,2101905,2023
276118,Bernardo do Mearim,2101939,2023
93312,Boa Vista do Gurupi,2101970,2023
571101,Bom Jardim,2102002,2023
456766,Bom Jesus das Selvas,2102036,2023
149056,Bom Lugar,2102077,2023
426439,Brejo,2102101,2023
90089,Brejo de Areia,2102150,2023
332530,Buriti,2102200,2023
309327,Buriti Bravo,2102309,2023
1008378,Buriticupu,2102325,2023
156524,Buritirana,2102358,2023
85043,Cachoeira Grande,2102374,2023
81775,Cajapió,2102408,2023
155103,Cajari,2102507,2023
303257,Campestre do Maranhão,2102556,2023
204526,Cândido Mendes,2102606,2023
233273,Cantanhede,2102705,2023
215754,Capinzal do Norte,2102754,2023
595614,Carolina,2102804,2023
246447,Carutapera,2102903,2023
2696021,Caxias,2103000,2023
86165,Cedral,2103109,2023
69154,Central do Maranhão,2103125,2023
137520,Centro do Guilherme,2103158,2023
236610,Centro Novo do Maranhão,2103174,2023
1130462,Chapadinha,2103208,2023
242330,Cidelândia,2103257,2023
1808033,Codó,2103307,2023
486211,Coelho Neto,2103406,2023
729810,Colinas,2103505,2023
159750,Conceição do Lago,2103554,2023
637484,Coroatá,2103604,2023
343104,Cururupu,2103703,2023
218072,Davinópolis,2103752,2023
314608,Dom Pedro,2103802,2023
108748,Duque Bacelar,2103901,2023
202856,Esperantinópolis,2104008,2023
1195399,Estreito,2104057,2023
132983,Feira Nova do Maranhão,2104073,2023
159761,Fernando Falcão,2104081,2023
257048,Formosa da Serra Negra,2104099,2023
354448,Fortaleza dos Nogueiras,2104107,2023
214307,Fortuna,2104206,2023
855186,Godofredo Viana,2104305,2023
187080,Gonçalves Dias,2104404,2023
123047,Governador Archer,2104503,2023
448007,Governador Edison Lobão,2104552,2023
195174,Governador Eugênio Barros,2104602,2023
108305,Governador Luiz Rocha,2104628,2023
120254,Governador Newton Bello,2104651,2023
324762,Governador Nunes Freire,2104677,2023
66886,Graça Aranha,2104701,2023
1415488,Grajaú,2104800,2023
104271,Guimarães,2104909,2023
241228,Humberto de Campos,2105005,2023
211921,Icatu,2105104,2023
464887,Igarapé do Meio,2105153,2023
138144,Igarapé Grande,2105203,2023
9475802,Imperatriz,2105302,2023
136089,Itaipava do Grajaú,2105351,2023
889928,Itapecuru Mirim,2105401,2023
687514,Itinga do Maranhão,2105427,2023
83460,Jatobá,2105450,2023
174125,Jenipapo dos Vieiras,2105476,2023
362692,João Lisboa,2105500,2023
139774,Joselândia,2105609,2023
71491,Junco do Maranhão,2105658,2023
621148,Lago da Pedra,2105708,2023
108264,Lago do Junco,2105807,2023
169405,Lago Verde,2105906,2023
211547,Lagoa do Mato,2105922,2023
104301,Lago dos Rodrigues,2105948,2023
128791,Lagoa Grande do Maranhão,2105963,2023
122752,Lajeado Novo,2105989,2023
237817,Lima Campos,2106003,2023
390947,Loreto,2106102,2023
72747,Luís Domingues,2106201,2023
181567,Magalhães de Almeida,2106300,2023
275246,Maracaçumé,2106326,2023
116023,Marajá do Sena,2106359,2023
146664,Maranhãozinho,2106375,2023
226303,Mata Roma,2106409,2023
232534,Matinha,2106508,2023
334401,Matões,2106607,2023
134625,Matões do Norte,2106631,2023
94017,Milagres do Maranhão,2106672,2023
389857,Mirador,2106706,2023
578366,Miranda do Norte,2106755,2023
133235,Mirinzal,2106805,2023
280367,Monção,2106904,2023
119453,Montes Altos,2107001,2023
190452,Morros,2107100,2023
109174,Nina Rodrigues,2107209,2023
95718,Nova Colinas,2107258,2023
53436,Nova Iorque,2107308,2023
171963,Nova Olinda do Maranhão,2107357,2023
225755,Olho d'Água das Cunhãs,2107407,2023
132761,Olinda Nova do Maranhão,2107456,2023
1643537,Paço do Lumiar,2107506,2023
188190,Palmeirândia,2107605,2023
210302,Paraibano,2107704,2023
381793,Parnarama,2107803,2023
207014,Passagem Franca,2107902,2023
322652,Pastos Bons,2108009,2023
157984,Paulino Neves,2108058,2023
261075,Paulo Ramos,2108108,2023
830171,Pedreiras,2108207,2023
225795,Pedro do Rosário,2108256,2023
313292,Penalva,2108306,2023
110020,Peri Mirim,2108405,2023
277935,Peritoró,2108454,2023
356584,Pindaré,2108504,2023
1333000,Pinheiro,2108603,2023
269345,Pio XII,2108702,2023
185469,Pirapemas,2108801,2023
221327,Poção de Pedras,2108900,2023
1252850,Porto Franco,2109007,2023
63769,Porto Rico do Maranhão,2109056,2023
990073,Presidente Dutra,2109106,2023
102458,Presidente Juscelino,2109205,2023
74488,Presidente Médici,2109239,2023
186043,Presidente Sarney,2109270,2023
108884,Presidente Vargas,2109304,2023
120508,Primeira Cruz,2109403,2023
381071,Raposa,2109452,2023
687701,Riachão,2109502,2023
149001,Ribamar Fiquene,2109551,2023
522395,Rosário,2109601,2023
433340,Sambaíba,2109700,2023
71886,Santa Filomena do Maranhão,2109759,2023
483903,Santa Helena,2109809,2023
1837615,Santa Inês,2109908,2023
985809,Santa Luzia,2110005,2023
382764,Santa Luzia do Paruá,2110039,2023
391678,Santa Quitéria do Maranhão,2110104,2023
364746,Santa Rita,2110203,2023
115748,Santana do Maranhão,2110237,2023
131658,Santo Amaro do Maranhão,2110278,2023
5184564,Santo Antônio dos Lopes,2110302,2023
186474,São Benedito do Rio Preto,2110401,2023
404149,São Bento,2110500,2023
384189,São Bernardo,2110609,2023
339609,São Domingos do Azeitão,2110658,2023
479852,São Domingos do Maranhão,2110708,2023
92001,São Félix de Balsas,2110807,2023
138737,São Francisco do Brejão,2110856,2023
127389,São Francisco do Maranhão,2110906,2023
152916,São João Batista,2111003,2023
143797,São João do Carú,2111029,2023
226525,São João do Paraíso,2111052,2023
208559,São João do Soter,2111078,2023
444285,São João dos Patos,2111102,2023
3135579,São José de Ribamar,2111201,2023
75930,São José dos Basílios,2111250,2023
42389051,São Luís,2111300,2023
198315,São Luís Gonzaga do Maranhão,2111409,2023
586548,São Mateus do Maranhão,2111508,2023
149359,São Pedro da Água Branca,2111532,2023
103928,São Pedro dos Crentes,2111573,2023
1090033,São Raimundo das Mangabeiras,2111607,2023
62616,São Raimundo do Doca Bezerra,2111631,2023
58526,São Roberto,2111672,2023
183735,São Vicente Ferrer,2111706,2023
107921,Satubinha,2111722,2023
145324,Senador Alexandre Costa,2111748,2023
225141,Senador La Rocque,2111763,2023
118312,Serrano do Maranhão,2111789,2023
292191,Sítio Novo,2111805,2023
193909,Sucupira do Norte,2111904,2023
63214,Sucupira do Riachão,2111953,2023
2616708,Tasso Fragoso,2112001,2023
248536,Timbiras,2112100,2023
2840126,Timon,2112209,2023
436529,Trizidela do Vale,2112233,2023
75760,Tufilândia,2112274,2023
410127,Tuntum,2112308,2023
414975,Turiaçu,2112407,2023
280000,Turilândia,2112456,2023
642713,Tutóia,2112506,2023
315151,Urbano Santos,2112605,2023
467351,Vargem Grande,2112704,2023
608731,Viana,2112803,2023
191495,Vila Nova dos Martírios,2112852,2023
410267,Vitória do Mearim,2112902,2023
411453,Vitorino Freire,2113009,2023
685858,Zé Doca,2114007,2023
84924,Acauã,2200053,2023
57335,Agricolândia,2200103,2023
303532,Água Branca,2200202,2023
80787,Alagoinha do Piauí,2200251,2023
56359,Alegrete do Piauí,2200277,2023
146913,Alto Longá,2200301,2023
764914,Altos,2200400,2023
109088,Alvorada do Gurguéia,2200459,2023
243954,Amarante,2200509,2023
84772,Angical do Piauí,2200608,2023
124990,Anísio de Abreu,2200707,2023
197619,Antônio Almeida,2200806,2023
69489,Aroazes,2200905,2023
31540,Aroeiras do Itaim,2200954,2023
60133,Arraial,2201002,2023
81045,Assunção do Piauí,2201051,2023
127137,Avelino Lopes,2201101,2023
2657264,Baixa Grande do Ribeiro,2201150,2023
47271,Barra D'Alcântara,2201176,2023
673463,Barras,2201200,2023
137542,Barreiras do Piauí,2201309,2023
104885,Barro Duro,2201408,2023
306176,Batalha,2201507,2023
63283,Bela Vista do Piauí,2201556,2023
47523,Belém do Piauí,2201572,2023
118265,Beneditinos,2201606,2023
90844,Bertolínia,2201705,2023
120127,Betânia do Piauí,2201739,2023
77969,Boa Hora,2201770,2023
53637,Bocaina,2201804,2023
1661674,Bom Jesus,2201903,2023
82659,Bom Princípio do Piauí,2201919,2023
68106,Bonfim do Piauí,2201929,2023
67424,Boqueirão do Piauí,2201945,2023
101117,Brasileira,2201960,2023
57956,Brejo do Piauí,2201988,2023
276426,Buriti dos Lopes,2202000,2023
98669,Buriti dos Montes,2202026,2023
107817,Cabeceiras do Piauí,2202059,2023
45637,Cajazeiras do Piauí,2202075,2023
152471,Cajueiro da Praia,2202083,2023
243767,Caldeirão Grande do Piauí,2202091,2023
75221,Campinas do Piauí,2202109,2023
62191,Campo Alegre do Fidalgo,2202117,2023
77243,Campo Grande do Piauí,2202133,2023
80881,Campo Largo do Piauí,2202174,2023
940802,Campo Maior,2202208,2023
52032,Canavieira,2202251,2023
342972,Canto do Buriti,2202307,2023
133031,Capitão de Campos,2202406,2023
