pib,municipio,cod_mun,ano
288644,Mojuí dos Campos - PA,1504752,2021
807340,Monte Alegre - PA,1504802,2021
338764,Muaná - PA,1504901,2021
350842,Nova Esperança do Piriá - PA,1504950,2021
192605,Nova Ipixuna - PA,1504976,2021
147491,Nova Timboteua - PA,1505007,2021
971539,Novo Progresso - PA,1505031,2021
1117034,Novo Repartimento - PA,1505064,2021
965930,Óbidos - PA,1505106,2021
419077,Oeiras do Pará - PA,1505205,2021
2278575,Oriximiná - PA,1505304,2021
200629,Ourém - PA,1505403,2021
1302429,Ourilândia do Norte - PA,1505437,2021
867605,Pacajá - PA,1505486,2021
98769,Palestina do Pará - PA,1505494,2021
4280508,Paragominas - PA,1505502,2021
49763040,Parauapebas - PA,1505536,2021
114870,Pau D'Arco - PA,1505551,2021
72327,Peixe-Boi - PA,1505601,2021
292755,Piçarra - PA,1505635,2021
323263,Placas - PA,1505650,2021
275230,Ponta de Pedras - PA,1505700,2021
945733,Portel - PA,1505809,2021
404677,Porto de Moz - PA,1505908,2021
442969,Prainha - PA,1506005,2021
321726,Primavera - PA,1506104,2021
120882,Quatipuru - PA,1506112,2021
2552479,Redenção - PA,1506138,2021
601872,Rio Maria - PA,1506161,2021
734050,Rondon do Pará - PA,1506187,2021
496837,Rurópolis - PA,1506195,2021
641901,Salinópolis - PA,1506203,2021
210371,Salvaterra - PA,1506302,2021
240524,Santa Bárbara do Pará - PA,1506351,2021
96043,Santa Cruz do Arari - PA,1506401,2021
935129,Santa Izabel do Pará - PA,1506500,2021
196168,Santa Luzia do Pará - PA,1506559,2021
1072244,Santa Maria das Barreiras - PA,1506583,2021
371642,Santa Maria do Pará - PA,1506609,2021
1381972,Santana do Araguaia - PA,1506708,2021
6390528,Santarém - PA,1506807,2021
60065,Santarém Novo - PA,1506906,2021
475569,Santo Antônio do Tauá - PA,1507003,2021
183191,São Caetano de Odivelas - PA,1507102,2021
359021,São Domingos do Araguaia - PA,1507151,2021
438410,São Domingos do Capim - PA,1507201,2021
2009122,São Félix do Xingu - PA,1507300,2021
264374,São Francisco do Pará - PA,1507409,2021
710684,São Geraldo do Araguaia - PA,1507458,2021
57407,São João da Ponta - PA,1507466,2021
182168,São João de Pirabas - PA,1507474,2021
186890,São João do Araguaia - PA,1507508,2021
793139,São Miguel do Guamá - PA,1507607,2021
245028,São Sebastião da Boa Vista - PA,1507706,2021
141176,Sapucaia - PA,1507755,2021
246281,Senador José Porfírio - PA,1507805,2021
241803,Soure - PA,1507904,2021
1291722,Tailândia - PA,1507953,2021
83046,Terra Alta - PA,1507961,2021
519541,Terra Santa - PA,1507979,2021
1040635,Tomé-Açu - PA,1508001,2021
285330,Tracuateua - PA,1508035,2021
327523,Trairão - PA,1508050,2021
984423,Tucumã - PA,1508084,2021
5614501,Tucuruí - PA,1508100,2021
1995884,Ulianópolis - PA,1508126,2021
774530,Uruará - PA,1508159,2021
476787,Vigia - PA,1508209,2021
618568,Viseu - PA,1508308,2021
4230778,Vitória do Xingu - PA,1508357,2021
1605020,Xinguara - PA,1508407,2021
92155,Serra do Navio - AP,1600055,2021
159543,Amapá - AP,1600105,2021
453324,Pedra Branca do Amapari - AP,1600154,2021
184496,Calçoene - AP,1600204,2021
94625,Cutias - AP,1600212,2021
578381,Ferreira Gomes - AP,1600238,2021
87891,Itaubal - AP,1600253,2021
1134587,Laranjal do Jari - AP,1600279,2021
12938060,Macapá - AP,1600303,2021
377734,Mazagão - AP,1600402,2021
528919,Oiapoque - AP,1600501,2021
373966,Porto Grande - AP,1600535,2021
84589,Pracuúba - AP,1600550,2021
2512717,Santana - AP,1600600,2021
261938,Tartarugalzinho - AP,1600709,2021
236925,Vitória do Jari - AP,1600808,2021
112135,Abreulândia - TO,1700251,2021
165480,Aguiarnópolis - TO,1700301,2021
616571,Aliança do Tocantins - TO,1700350,2021
273741,Almas - TO,1700400,2021
474111,Alvorada - TO,1700707,2021
159769,Ananás - TO,1701002,2021
48276,Angico - TO,1701051,2021
255912,Aparecida do Rio Negro - TO,1701101,2021
98441,Aragominas - TO,1701309,2021
240246,Araguacema - TO,1701903,2021
349050,Araguaçu - TO,1702000,2021
5239050,Araguaína - TO,1702109,2021
101858,Araguanã - TO,1702158,2021
529290,Araguatins - TO,1702208,2021
324523,Arapoema - TO,1702307,2021
223310,Arraias - TO,1702406,2021
305118,Augustinópolis - TO,1702554,2021
58806,Aurora do Tocantins - TO,1702703,2021
141092,Axixá do Tocantins - TO,1702901,2021
158741,Babaçulândia - TO,1703008,2021
178654,Bandeirantes do Tocantins - TO,1703057,2021
113260,Barra do Ouro - TO,1703073,2021
122016,Barrolândia - TO,1703107,2021
102684,Bernardo Sayão - TO,1703206,2021
139410,Bom Jesus do Tocantins - TO,1703305,2021
75634,Brasilândia do Tocantins - TO,1703602,2021
272945,Brejinho de Nazaré - TO,1703701,2021
161641,Buriti do Tocantins - TO,1703800,2021
58547,Cachoeirinha - TO,1703826,2021
1004931,Campos Lindos - TO,1703842,2021
517715,Cariri do Tocantins - TO,1703867,2021
69222,Carmolândia - TO,1703883,2021
50561,Carrasco Bonito - TO,1703891,2021
389493,Caseara - TO,1703909,2021
64557,Centenário - TO,1704105,2021
39824,Chapada de Areia - TO,1704600,2021
148973,Chapada da Natividade - TO,1705102,2021
862139,Colinas do Tocantins - TO,1705508,2021
76524,Combinado - TO,1705557,2021
67829,Conceição do Tocantins - TO,1705607,2021
203473,Couto Magalhães - TO,1706001,2021
177294,Cristalândia - TO,1706100,2021
78645,Crixás do Tocantins - TO,1706258,2021
241932,Darcinópolis - TO,1706506,2021
644829,Dianópolis - TO,1707009,2021
249235,Divinópolis do Tocantins - TO,1707108,2021
216149,Dois Irmãos do Tocantins - TO,1707207,2021
204765,Dueré - TO,1707306,2021
118724,Esperantina - TO,1707405,2021
89100,Fátima - TO,1707553,2021
256752,Figueirópolis - TO,1707652,2021
129323,Filadélfia - TO,1707702,2021
1414038,Formoso do Araguaia - TO,1708205,2021
232898,Tabocão - TO,1708254,2021
193502,Goianorte - TO,1708304,2021
230924,Goiatins - TO,1709005,2021
880403,Guaraí - TO,1709302,2021
2648420,Gurupi - TO,1709500,2021
47772,Ipueiras - TO,1709807,2021
186260,Itacajá - TO,1710508,2021
82611,Itaguatins - TO,1710706,2021
171522,Itapiratins - TO,1710904,2021
69980,Itaporã do Tocantins - TO,1711100,2021
97865,Jaú do Tocantins - TO,1711506,2021
44395,Juarina - TO,1711803,2021
998445,Lagoa da Confusão - TO,1711902,2021
89429,Lagoa do Tocantins - TO,1711951,2021
64405,Lajeado - TO,1712009,2021
37870,Lavandeira - TO,1712157,2021
66332,Lizarda - TO,1712405,2021
71180,Luzinópolis - TO,1712454,2021
252331,Marianópolis do Tocantins - TO,1712504,2021
252360,Mateiros - TO,1712702,2021
55911,Maurilândia do Tocantins - TO,1712801,2021
642003,Miracema do Tocantins - TO,1713205,2021
390325,Miranorte - TO,1713304,2021
296288,Monte do Carmo - TO,1713601,2021
75004,Monte Santo do Tocantins - TO,1713700,2021
95357,Palmeiras do Tocantins - TO,1713809,2021
69465,Muricilândia - TO,1713957,2021
247340,Natividade - TO,1714203,2021
58139,Nazaré - TO,1714302,2021
320311,Nova Olinda - TO,1714880,2021
100915,Nova Rosalândia - TO,1715002,2021
84723,Novo Acordo - TO,1715101,2021
35521,Novo Alegre - TO,1715150,2021
42672,Novo Jardim - TO,1715259,2021
29469,Oliveira de Fátima - TO,1715507,2021
185349,Palmeirante - TO,1715705,2021
170118,Palmeirópolis - TO,1715754,2021
1513693,Paraíso do Tocantins - TO,1716109,2021
315397,Paranã - TO,1716208,2021
91169,Pau D'Arco - TO,1716307,2021
848671,Pedro Afonso - TO,1716505,2021
733929,Peixe - TO,1716604,2021
107606,Pequizeiro - TO,1716653,2021
182796,Colméia - TO,1716703,2021
85006,Pindorama do Tocantins - TO,1717008,2021
89940,Piraquê - TO,1717206,2021
361915,Pium - TO,1717503,2021
66158,Ponte Alta do Bom Jesus - TO,1717800,2021
121170,Ponte Alta do Tocantins - TO,1717909,2021
47043,Porto Alegre do Tocantins - TO,1718006,2021
3649421,Porto Nacional - TO,1718204,2021
93139,Praia Norte - TO,1718303,2021
65165,Presidente Kennedy - TO,1718402,2021
82663,Pugmil - TO,1718451,2021
91480,Recursolândia - TO,1718501,2021
68536,Riachinho - TO,1718550,2021
29142,Rio da Conceição - TO,1718659,2021
85928,Rio dos Bois - TO,1718709,2021
111443,Rio Sono - TO,1718758,2021
145863,Sampaio - TO,1718808,2021
116736,Sandolândia - TO,1718840,2021
175927,Santa Fé do Araguaia - TO,1718865,2021
139630,Santa Maria do Tocantins - TO,1718881,2021
180273,Santa Rita do Tocantins - TO,1718899,2021
307685,Santa Rosa do Tocantins - TO,1718907,2021
48098,Santa Tereza do Tocantins - TO,1719004,2021
41931,Santa Terezinha do Tocantins - TO,1720002,2021
73590,São Bento do Tocantins - TO,1720101,2021
36541,São Félix do Tocantins - TO,1720150,2021
255814,São Miguel do Tocantins - TO,1720200,2021
49467,São Salvador do Tocantins - TO,1720259,2021
61804,São Sebastião do Tocantins - TO,1720309,2021
156734,São Valério - TO,1720499,2021
240329,Silvanópolis - TO,1720655,2021
132862,Sítio Novo do Tocantins - TO,1720804,2021
532374,Sucupira - TO,1720853,2021
318253,Taguatinga - TO,1720903,2021
35246,Taipas do Tocantins - TO,1720937,2021
146708,Talismã - TO,1720978,2021
10333419,Palmas - TO,1721000,2021
191373,Tocantínia - TO,1721109,2021
372642,Tocantinópolis - TO,1721208,2021
118839,Tupirama - TO,1721257,2021
38619,Tupiratins - TO,1721307,2021
183424,Wanderlândia - TO,1722081,2021
471020,Xambioá - TO,1722107,2021
3828780,Açailândia - MA,2100055,2021
85068,Afonso Cunha - MA,2100105,2021
101672,Água Doce do Maranhão - MA,2100154,2021
