NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
6,Município,45,Pessoas,14806,1300839,Caapiranga - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,18109,1300904,Canutama - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,31130,1301001,Carauari - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,32336,1301100,Careiro - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,20324,1301159,Careiro da Várzea - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,73576,1301209,Coari - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,24572,1301308,Codajás - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,35793,1301407,Eirunepé - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,17985,1301506,Envira - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,28227,1301605,Fonte Boa - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,14344,1301654,Guajará - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,63454,1301704,Humaitá - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25629,1301803,Ipixuna - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,68862,1301852,Iranduba - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,113917,1301902,Itacoatiara - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,11956,1301951,Itamarati - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,10955,1302009,Itapiranga - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,9420,1302108,Japurá - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,11093,1302207,Juruá - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,28202,1302306,Jutaí - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,49469,1302405,Lábrea - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,111751,1302504,Manacapuru - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,16211,1302553,Manaquiri - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,2303732,1302603,Manaus - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,58018,1302702,Manicoré - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,15815,1302801,Maraã - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,66336,1302900,Maués - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,21251,1303007,Nhamundá - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,28123,1303106,Nova Olinda do Norte - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,16562,1303205,Novo Airão - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25325,1303304,Novo Aripuanã - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,101855,1303403,Parintins - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,20229,1303502,Pauini - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,33291,1303536,Presidente Figueiredo - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25364,1303569,Rio Preto da Eva - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,13947,1303601,Santa Isabel do Rio Negro - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,30679,1303700,Santo Antônio do Içá - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,57396,1303809,São Gabriel da Cachoeira - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,35442,1303908,São Paulo de Olivença - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,12338,1303957,São Sebastião do Uatumã - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,12619,1304005,Silves - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,73348,1304062,Tabatinga - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,20728,1304104,Tapauá - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,80137,1304203,Tefé - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,20257,1304237,Tonantins - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,15640,1304260,Uarini - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,19617,1304302,Urucará - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25965,1304401,Urucurituba - AM,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,16112,1400027,Amajari - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,23589,1400050,Alto Alegre - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,485477,1400100,Boa Vista - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,15570,1400159,Bonfim - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,21102,1400175,Cantá - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,22750,1400209,Caracaraí - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,12004,1400233,Caroebe - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,10937,1400282,Iracema - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,20006,1400308,Mucajaí - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,16323,1400407,Normandia - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,23112,1400456,Pacaraima - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,37787,1400472,Rorainópolis - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,9969,1400506,São João da Baliza - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,7848,1400605,São Luiz - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,16186,1400704,Uiramutã - RR,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,172344,1500107,Abaetetuba - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,6275,1500131,Abel Figueiredo - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,63110,1500206,Acará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,40473,1500305,Afuá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,17596,1500347,Água Azul do Norte - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,75882,1500404,Alenquer - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,36442,1500503,Almeirim - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,138749,1500602,Altamira - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,30247,1500701,Anajás - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,509227,1500800,Ananindeua - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,35638,1500859,Anapu - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,47912,1500909,Augusto Corrêa - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,24193,1500958,Aurora do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,19380,1501006,Aveiro - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,35147,1501105,Bagre - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,56850,1501204,Baião - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,4290,1501253,Bannach - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,139076,1501303,Barcarena - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,1397315,1501402,Belém - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,19075,1501451,Belterra - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,68962,1501501,Benevides - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,19129,1501576,Bom Jesus do Tocantins - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,12961,1501600,Bonito - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,132489,1501709,Bragança - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,27130,1501725,Brasil Novo - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,6966,1501758,Brejo Grande do Araguaia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,47066,1501782,Breu Branco - PA,2025,2025,9324,População residente estimada
